country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Guyana,,106.0,96.5,95.5,83.1,65.0,16.9,17.0,13.3,13.9,12.4,11.5,10.9,10.7,9.8
Haiti,415.0,359.0,308.0,252.0,263.0,266.0,204.0,251.0,314.0,287.0,265.0,247.0,235.0,219.0,200.0
Honduras,71.5,66.8,64.1,59.0,58.0,50.9,45.6,45.7,45.3,44.3,43.9,43.3,42.0,41.1,41.3
Hungary,40.4,22.9,22.4,20.9,17.7,8.4,8.0,8.2,7.6,8.9,8.8,8.5,7.5,7.1,5.4
Iceland,,3.0,2.8,3.0,2.7,2.6,3.0,2.3,3.3,3.0,2.7,2.4,2.2,2.0,1.8
India,,,,,,,,,,,41.2,16.2,14.3,13.8,14.8
Indonesia,,,,,,,,,,,21.9,21.1,19.9,19.4,10.9
Iran,6.5,7.3,6.3,5.4,5.3,4.6,3.9,4.2,3.9,3.4,3.3,3.2,2.8,1.2,1.4
Iraq,,30.3,30.3,54.8,68.5,127.0,64.6,92.5,102.0,70.5,36.7,35.9,37.4,51.9,43.3
Ireland,10.4,10.3,5.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2
Israel,5.5,5.5,5.3,5.1,4.4,4.4,4.2,4.3,4.4,4.0,4.1,3.5,3.4,3.3,3.2
Italy,22.1,21.4,20.7,20.0,18.7,18.5,18.0,18.7,18.4,16.7,14.4,14.4,14.0,13.9,13.7
Jamaica,16.3,15.4,11.8,9.4,8.7,7.9,5.3,5.2,7.2,6.7,6.4,4.9,5.0,4.3,4.8
Japan,,,,,,,,,,,7.5,7.5,7.5,7.5,7.5
Jordan,104.0,102.0,85.5,73.0,23.8,32.9,28.2,25.4,21.7,21.5,20.5,19.7,19.0,20.6,24.2
Kazakhstan,12.9,12.1,9.9,7.0,7.6,5.2,4.8,1.0,0.8,0.7,0.6,0.5,0.5,0.3,0.3
Kenya,54.6,53.7,61.6,58.8,58.1,49.2,52.8,55.2,53.5,47.5,44.5,54.1,43.6,28.2,26.3
Kiribati,51.6,36.3,40.3,53.8,58.3,63.6,45.7,47.1,46.4,46.6,47.1,44.4,46.0,36.3,40.2
Kuwait,2.0,2.4,2.2,1.6,1.6,1.3,1.0,1.3,1.2,1.1,1.2,2.0,2.3,2.8,1.7
Kyrgyz Republic,12.5,11.5,10.4,10.7,9.7,7.4,5.2,3.7,3.5,2.8,2.7,2.3,2.1,2.2,2.1
Lao,23.9,21.3,17.4,15.8,14.7,11.6,9.7,8.9,7.1,6.6,6.2,5.3,4.9,4.6,3.5
Latvia,10.1,9.3,4.2,3.5,3.0,2.3,2.1,1.5,2.6,2.3,1.9,4.3,1.8,1.8,1.8
Lebanon,130.0,130.0,109.0,91.2,94.5,87.8,78.5,75.3,67.3,35.5,35.1,33.6,34.2,40.6,42.0
Lesotho,64.2,59.7,41.8,40.0,37.5,37.9,27.0,26.0,24.9,13.0,11.4,9.4,9.3,8.1,7.7
Liberia,,,,564.0,490.0,100.0,85.6,88.3,68.4,52.7,19.1,17.4,16.8,16.7,15.7
Libya,,,,,,,,,,31.7,19.1,19.9,26.9,31.2,30.3
Lithuania,4.0,3.7,3.3,2.8,3.0,2.7,2.4,2.8,2.8,1.1,0.9,0.2,0.6,0.6,0.6
Luxembourg,,,,11.9,10.8,6.5,1.8,2.1,1.9,1.9,1.9,2.0,2.0,1.7,1.7
"Macedonia, FYR",11.0,10.6,10.4,6.6,5.9,3.1,1.9,1.9,1.8,1.7,1.7,0.6,0.1,0.1,0.1
Madagascar,253.0,249.0,175.0,81.5,71.3,62.6,46.2,54.3,49.4,47.4,47.0,44.8,43.7,40.4,35.8
Malawi,116.0,141.0,140.0,216.0,189.0,126.0,108.0,108.0,90.9,141.0,120.0,107.0,84.6,42.2,44.6
Malaysia,33.1,32.0,26.6,25.1,23.1,18.9,15.6,17.5,16.4,15.1,7.6,7.2,6.7,6.2,5.4
Maldives,13.0,12.3,14.0,14.0,13.4,11.5,10.0,9.4,8.9,6.0,6.2,6.2,4.9,5.2,4.7
Mali,204.0,187.0,191.0,202.0,115.0,103.0,86.9,79.7,90.5,86.2,76.7,78.1,71.3,61.0,58.4
Malta,,,,,,,,,12.0,11.6,15.3,14.6,14.1,12.3,7.3
Marshall Islands,20.9,20.2,22.4,18.6,17.7,17.4,16.2,17.6,17.7,13.5,12.4,12.8,12.7,12.5,11.9
Mauritania,141.0,141.0,144.0,122.0,83.9,56.4,58.9,56.0,48.3,47.6,46.1,20.8,19.4,19.4,19.3
Mauritius,,9.6,8.8,8.0,5.4,5.0,4.1,3.8,3.6,3.3,3.6,2.1,2.0,1.8,1.0
Mexico,,,,,,,,,,,18.6,18.8,18.1,17.8,17.0
"Micronesia, Fed. Sts.",26.5,134.0,128.0,136.0,137.0,138.0,136.0,138.0,139.0,140.0,141.0,141.0,141.0,140.0,142.0
Moldova,24.5,18.6,14.6,13.3,11.5,8.9,7.0,7.9,6.5,5.7,5.4,4.6,4.3,6.2,5.6
Mongolia,16.1,12.5,9.6,7.9,6.6,4.0,3.0,3.2,2.9,2.4,1.5,1.2,1.5,1.5,1.4
Montenegro,,,,7.1,6.5,4.6,2.8,2.1,2.0,1.7,1.7,1.8,1.6,1.5,1.5
Morocco,26.6,13.7,13.4,12.7,13.6,12.0,10.8,10.3,10.0,9.6,9.5,9.2,9.1,7.9,8.0
Mozambique,112.0,95.8,95.0,85.7,10.1,12.6,11.0,18.5,15.9,15.3,14.6,13.5,15.1,18.0,18.1
Myanmar,,,,,,,,,,158.0,149.0,140.0,98.0,41.1,40.1
Namibia,22.2,19.3,18.8,18.0,22.3,22.1,20.4,18.5,17.2,18.5,14.7,13.1,11.1,11.5,11.3
Nepal,78.0,74.1,69.9,78.5,73.9,60.2,53.6,46.6,37.4,33.0,34.6,32.2,28.4,26.1,24.9
Netherlands,13.3,13.2,13.0,7.2,6.0,5.9,5.6,5.7,5.5,5.1,5.2,5.0,4.6,4.5,4.4
New Zealand,0.2,0.2,0.2,0.2,0.1,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
Nicaragua,160.0,156.0,140.0,124.0,114.0,115.0,106.0,112.0,108.0,101.0,77.0,73.9,72.2,68.0,65.4
Niger,451.0,445.0,465.0,417.0,175.0,170.0,119.0,119.0,114.0,113.0,80.1,76.7,67.8,32.4,8.3
Nigeria,,,,,,,,,,,59.7,33.9,31.7,31.0,28.8
Norway,3.5,2.9,2.7,2.5,2.3,2.1,1.9,1.8,1.8,1.7,1.6,0.9,0.9,0.9,0.9
Oman,4.9,4.9,4.8,4.5,4.3,3.6,2.2,3.3,3.1,2.6,2.4,2.4,3.2,4.0,4.0
Pakistan,,,,,,,,,,,15.9,14.6,13.9,12.5,7.6
Palau,9.5,4.3,4.7,5.1,4.7,4.6,4.1,5.7,5.8,5.2,3.8,3.3,3.3,2.9,2.9
Palestine,,92.9,92.9,122.0,108.0,81.2,56.0,94.6,97.3,92.3,86.7,87.5,83.5,46.9,45.1
Panama,14.9,14.6,14.4,13.9,13.0,11.5,10.1,10.2,9.8,8.7,7.1,6.4,6.3,5.8,5.7
Papua New Guinea,28.8,28.2,27.7,23.8,24.2,21.7,18.9,27.0,23.8,20.7,19.9,19.4,17.3,15.6,11.5
Paraguay,147.0,117.0,112.0,105.0,49.7,46.9,44.1,43.7,41.8,41.6,41.0,40.0,39.9,39.8,39.9
Peru,39.4,36.4,38.0,31.1,28.3,24.4,16.2,12.7,11.1,9.9,9.5,9.2,9.8,9.9,10.0
Philippines,28.6,24.1,23.9,22.2,24.1,22.7,21.6,22.1,19.1,19.2,18.7,16.6,16.1,15.8,15.8
Poland,21.3,20.8,19.9,19.2,18.9,17.5,16.7,16.3,16.0,13.2,13.1,12.9,12.2,12.1,12.0
Portugal,12.0,13.5,13.4,7.9,6.7,6.5,6.4,6.5,2.3,2.3,2.4,2.3,2.2,2.1,2.1
Qatar,,,,,5.7,5.7,4.7,7.2,6.1,4.9,5.1,5.2,5.1,6.2,6.7
Romania,10.9,7.4,5.3,4.6,4.8,3.6,2.9,2.8,3.1,2.9,2.5,2.2,2.1,2.0,0.4
Russia,,,,,,,,,,,1.5,1.4,1.4,1.2,1.1
Rwanda,235.0,224.0,200.0,188.0,172.0,109.0,10.1,8.8,4.7,30.2,30.8,59.8,55.0,48.5,44.6
Samoa,52.3,48.7,46.4,45.5,41.3,39.8,9.9,9.8,9.7,9.5,9.6,9.4,8.0,7.7,7.3
San Marino,,,,,,,,,,8.2,8.7,9.0,9.0,8.8,9.1
Sao Tome and Principe,,308.0,277.0,276.0,133.0,116.0,98.2,88.8,23.1,19.7,19.4,17.5,16.7,15.2,13.2
Saudi Arabia,70.7,64.9,72.0,70.4,30.2,18.0,7.9,10.2,8.8,7.0,6.9,5.6,5.7,6.0,6.8
Senegal,122.0,113.0,109.0,113.0,107.0,72.7,63.7,63.1,68.0,64.4,64.3,63.8,63.4,62.7,33.8
